Age,CatsInHouse,HousingType,Zone,TimeOutside,TimeWithOwner,Shy,Calm,Skittish,Intelligent,Vigilant,Tenacious,Affectionate,Friendly,Loner,Ferocious,Territorial,Aggressive,Impulsive,Predictable,Inattentive,NaturalAreasAbundance,BirdsEater,MiceEater,Race
2-10 years,1,Apartment without balcony,Periurban,1,2,1,3,1,4,4,4,4,3,2,3,1,3,2,1,2,2.061517026239235,0,0,Chartreux
1-2 years,1,Individual house zone,Rural,3,2,3,3,2,4,5,5,4,2,4,4,5,1,4,3,3,3.0,0,3,Bengal
2-10 years,1,Individual house zone,Rural,2,2,2,2,1,5,4,5,4,3,2,2,3,3,4,4,3,3.0,3,3,Birman
1-2 years,1,Apartment with balcony or terrace,Periurban,0,2,2,2,3,4,4,4,4,4,2,1,1,1,1,3,3,2.3152688274461206,0,0,Birman
2-10 years,1,House in a subdivision,Periurban,1,2,3,4,4,4,3,1,4,2,2,1,1,2,2,4,2,2.0,0,0,Siamese
2-10 years,1,Apartment without balcony,Rural,0,2,1,4,1,4,4,2,4,4,1,1,1,1,1,4,1,1.0,0,0,Ragdoll
2-10 years,1,Apartment with balcony or terrace,Urban,0,2,4,3,4,3,4,4,4,3,3,2,2,1,3,3,3,2.0,2,3,Siamese
1-2 years,1,Apartment without balcony,Rural,0,2,3,4,2,5,4,4,4,4,2,3,2,3,3,4,3,2.0,0,0,Ragdoll
2-10 years,5,House in a subdivision,Urban,0,2,1,4,1,4,3,1,4,4,4,1,4,3,1,4,3,3.0,0,0,NoBreed
2-10 years,1,Individual house zone,Rural,0,2,1,3,1,4,1,4,5,5,1,1,1,1,1,3,3,2.084486322708086,0,0,Ragdoll
2-10 years,2,House in a subdivision,Periurban,1,2,1,2,4,4,4,4,4,4,2,1,1,3,2,3,3,2.0,0,0,European
2-10 years,5,House in a subdivision,Rural,2,2,1,4,1,4,4,4,4,4,1,1,4,3,4,4,3,3.0,1,2,Bengal
1-2 years,1,Apartment with balcony or terrace,Rural,0,2,3,2,1,4,5,4,4,2,2,1,3,2,4,3,4,2.0,0,0,Savannah
2-10 years,2,Apartment without balcony,Urban,0,2,1,4,1,5,4,3,5,4,1,1,2,1,1,3,3,1.625891376437009,0,0,Sphynx
Less than 1 year,1,House in a subdivision,Rural,0,2,1,4,1,4,3,4,5,5,1,1,2,1,1,4,3,2.2886937367707,0,0,Sphynx
2-10 years,1,Apartment with balcony or terrace,Urban,2,2,3,2,2,4,4,4,4,4,4,2,4,2,2,4,4,1.0,0,0,European
2-10 years,1,Apartment with balcony or terrace,Urban,0,2,2,4,3,4,3,4,4,4,2,2,2,1,2,3,3,2.0,0,0,Sphynx
2-10 years,3,Apartment without balcony,Rural,0,2,3,3,1,3,2,2,3,1,3,1,2,1,1,2,1,1.6965787041780633,0,0,Savannah
1-2 years,2,House in a subdivision,Periurban,2,1,2,4,2,3,4,3,1,1,4,2,3,3,3,3,3,2.0,3,2,Persian
2-10 years,4,Individual house zone,Periurban,0,2,1,4,4,4,4,5,5,4,4,2,4,4,3,4,1,3.0,0,0,BritishShorthair
Less than 1 year,1,Apartment with balcony or terrace,Rural,1,2,2,4,4,5,4,3,5,3,3,1,1,4,1,3,3,1.6664304505277996,0,0,TurkishAngora
2-10 years,2,House in a subdivision,Periurban,2,1,1,4,1,3,3,3,4,4,1,1,4,3,2,4,2,3.0,0,1,Bengal
2-10 years,4,Apartment without balcony,Rural,1,2,1,2,1,4,4,4,4,4,1,1,4,1,4,4,2,3.0,0,0,Sphynx
2-10 years,2,House in a subdivision,Urban,0,2,4,3,4,4,4,5,5,3,4,2,2,2,1,4,5,2.0,0,0,European
1-2 years,2,House in a subdivision,Rural,2,2,1,3,2,4,4,4,4,4,2,1,4,2,3,2,4,3.0,2,4,Chartreux
More than 10 years,1,Individual house zone,Rural,3,2,4,5,2,4,5,4,4,3,3,2,2,4,3,3,2,3.0,2,2,European
2-10 years,2,House in a subdivision,Rural,0,2,1,4,1,4,4,4,5,5,1,1,1,1,1,2,3,2.2106621890056664,0,0,Sphynx
2-10 years,4,Apartment with balcony or terrace,Periurban,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,3,2,2.0,0,0,Siamese
Less than 1 year,3,House in a subdivision,Periurban,2,2,1,4,1,4,4,4,4,4,2,1,2,3,2,3,2,2.82510733142266,0,0,Chartreux
Less than 1 year,1,Apartment with balcony or terrace,Urban,1,3,3,3,4,5,5,5,4,4,2,1,3,3,3,2,3,2.0,0,0,TurkishAngora
Less than 1 year,1,House in a subdivision,Rural,2,2,1,4,2,4,3,5,3,2,4,2,4,3,3,3,4,2.5088136591313734,1,1,Chartreux
1-2 years,2,Apartment with balcony or terrace,Rural,2,2,1,2,1,4,3,3,4,4,1,1,1,1,1,4,4,2.1265767619183396,0,0,Bengal
2-10 years,2,Apartment with balcony or terrace,Periurban,1,1,4,4,2,3,3,2,5,4,1,2,3,3,2,4,3,1.4798118431238056,0,0,Ragdoll
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,2,3,4,1,4,4,4,4,4,2,2,2,1,2,4,2,1.3285450651053567,0,0,TurkishAngora
1-2 years,3,Apartment without balcony,Rural,1,3,1,1,1,2,1,2,1,1,2,1,2,1,2,2,2,1.0,0,0,Ragdoll
2-10 years,1,Apartment with balcony or terrace,Rural,0,3,2,3,3,5,4,3,4,3,2,1,1,2,1,3,3,2.0,0,0,Savannah
1-2 years,1,Apartment with balcony or terrace,Periurban,0,2,2,3,3,3,3,3,3,3,2,2,3,2,3,2,4,1.0,0,0,BritishShorthair
2-10 years,2,Individual house zone,Rural,0,3,1,4,1,3,2,1,4,4,1,1,1,1,1,4,1,3.0,0,0,Ragdoll
2-10 years,1,Apartment without balcony,Rural,1,2,3,1,2,4,4,4,4,3,1,3,2,2,4,1,3,2.5379027092343396,0,0,Savannah
1-2 years,1,Apartment without balcony,Periurban,0,2,1,2,1,3,4,4,3,4,3,1,2,1,2,3,2,2.0,0,0,Bengal
Less than 1 year,1,Apartment with balcony or terrace,Periurban,0,2,1,4,1,4,4,4,5,4,1,1,2,1,2,4,2,2.0,0,0,TurkishAngora
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,2,1,1,2,4,4,4,4,4,3,3,3,3,4,3,3,2.2485802577149423,0,0,TurkishAngora
2-10 years,2,House in a subdivision,Periurban,0,2,3,4,3,3,3,4,4,2,1,1,1,1,1,3,1,2.61341519593579,0,0,MaineCoon
1-2 years,1,Apartment with balcony or terrace,Urban,0,2,3,3,2,4,5,4,4,3,2,2,2,2,2,3,3,2.0,0,0,Savannah
More than 10 years,3,House in a subdivision,Rural,2,2,2,4,3,3,4,4,5,5,1,3,3,2,3,4,4,2.0,0,0,European
2-10 years,2,Apartment with balcony or terrace,Urban,0,2,3,4,2,4,4,4,4,3,2,1,4,1,2,3,2,1.5124576558819216,0,0,Chartreux
2-10 years,1,House in a subdivision,Rural,1,2,4,1,3,4,4,4,4,3,1,3,2,2,3,1,3,2.839599894669928,0,0,Savannah
1-2 years,4,House in a subdivision,Rural,0,2,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,2.914491469145532,0,0,Sphynx
1-2 years,2,Individual house zone,Urban,1,2,3,4,2,4,5,4,4,3,2,1,1,1,1,3,4,2.481161942873928,0,0,MaineCoon
1-2 years,1,Apartment with balcony or terrace,Periurban,1,2,4,4,4,4,3,2,4,1,3,1,1,2,1,2,3,2.045861266404633,0,0,BritishShorthair
1-2 years,5,Individual house zone,Rural,0,2,2,3,2,4,5,5,4,3,2,2,4,4,3,4,4,2.504124264921229,0,0,Bengal
2-10 years,4,Apartment without balcony,Periurban,0,2,1,1,1,4,4,4,4,4,1,3,3,4,4,3,2,1.4837549419324128,0,0,Savannah
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,2,1,2,2,4,4,4,4,4,2,4,4,3,4,3,3,2.0,0,0,TurkishAngora
2-10 years,1,Apartment without balcony,Periurban,0,2,2,2,3,4,3,5,4,2,2,4,4,2,4,2,4,2.0,0,0,BritishShorthair
2-10 years,1,Apartment with balcony or terrace,Urban,0,2,4,4,3,5,5,4,4,4,1,1,1,3,2,2,1,1.349386999049333,0,0,Siamese
2-10 years,2,House in a subdivision,Rural,2,3,1,1,3,4,5,5,5,4,2,3,4,4,1,4,4,2.0,3,1,NoBreed
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,2,3,3,2,3,3,2,4,4,1,1,2,1,1,3,3,2.118817916268072,0,0,Persian
Less than 1 year,2,Individual house zone,Rural,0,3,4,4,4,5,5,5,5,5,1,1,1,1,3,5,5,2.0,0,0,Birman
1-2 years,1,House in a subdivision,Periurban,0,1,4,5,2,5,4,3,5,4,2,1,1,1,1,5,2,3.0,0,0,Persian
2-10 years,1,Apartment without balcony,Urban,0,2,3,3,3,3,4,3,5,3,2,1,1,3,2,4,3,2.8837096696607527,0,0,Chartreux
2-10 years,1,House in a subdivision,Urban,0,1,3,4,3,4,4,3,4,2,1,1,1,1,1,3,4,2.110863411205255,0,0,MaineCoon
1-2 years,5,House in a subdivision,Rural,0,2,1,1,1,5,5,5,5,3,2,1,1,1,1,1,1,1.8427140045541404,0,0,Sphynx
2-10 years,1,Apartment with balcony or terrace,Urban,1,2,4,5,3,4,5,4,4,4,3,1,1,3,1,4,3,1.0,0,0,BritishShorthair
2-10 years,5,Individual house zone,Periurban,1,2,1,2,1,3,3,3,3,3,3,1,1,1,1,3,3,3.0,0,0,MaineCoon
1-2 years,2,House in a subdivision,Rural,0,0,5,2,4,5,2,4,4,4,1,3,3,4,4,5,5,2.0,0,0,Siamese
Less than 1 year,1,House in a subdivision,Periurban,0,2,1,2,2,4,4,4,4,4,1,3,4,2,4,4,4,2.3825262802440084,0,0,Siamese
1-2 years,2,Apartment without balcony,Rural,0,2,4,3,3,3,3,4,3,1,3,1,1,2,1,2,3,2.7994103989090426,0,0,Persian
2-10 years,1,Individual house zone,Rural,0,2,1,4,1,4,4,4,5,5,1,1,1,1,1,1,3,2.8129562514424764,0,0,Sphynx
Less than 1 year,1,Apartment without balcony,Periurban,2,2,3,4,2,4,5,4,4,5,1,1,1,1,1,4,2,2.2658511366543133,0,0,Siamese
2-10 years,3,Apartment with balcony or terrace,Periurban,0,2,1,1,1,4,3,4,5,5,1,1,4,1,4,4,1,2.6633957218060793,0,0,Bengal
2-10 years,1,House in a subdivision,Periurban,2,2,3,4,4,4,3,2,4,2,3,1,1,2,2,4,3,2.0,0,1,Siamese
2-10 years,3,House in a subdivision,Periurban,2,2,2,3,1,3,3,3,4,4,2,1,3,2,4,3,3,3.0,0,1,Siamese
2-10 years,1,Individual house zone,Rural,0,2,2,3,1,4,4,4,4,4,1,1,1,1,3,4,4,3.0,0,0,Ragdoll
1-2 years,1,Apartment without balcony,Urban,0,2,1,2,3,4,2,4,2,4,2,3,4,3,1,4,1,2.0,0,0,Sphynx
2-10 years,1,Apartment without balcony,Periurban,0,1,2,3,3,4,4,4,4,4,2,2,2,2,2,3,3,2.0,0,0,Ragdoll
2-10 years,1,Individual house zone,Rural,0,2,4,3,3,4,4,4,4,1,4,1,1,2,1,3,4,3.0,0,0,Persian
1-2 years,2,Apartment without balcony,Urban,0,3,1,4,1,5,3,5,5,5,1,1,1,1,1,4,3,1.0,0,0,Sphynx
2-10 years,2,Individual house zone,Rural,0,3,4,4,2,5,4,3,5,4,2,1,4,1,3,4,4,2.0,0,0,Birman
2-10 years,1,Apartment without balcony,Rural,0,2,1,4,1,4,3,3,5,4,1,1,1,1,1,3,4,2.0,0,1,BritishShorthair
1-2 years,3,Apartment without balcony,Rural,0,2,1,4,1,5,3,5,5,5,4,1,1,1,1,2,1,3.0,0,0,MaineCoon
2-10 years,1,Apartment with balcony or terrace,Periurban,0,2,4,4,3,4,5,4,2,1,3,1,3,3,3,4,3,1.1931498510374139,0,0,BritishShorthair
2-10 years,1,House in a subdivision,Urban,0,1,2,4,3,3,4,4,5,3,4,1,1,1,1,3,3,2.0,0,0,BritishShorthair
2-10 years,2,Individual house zone,Rural,2,2,4,4,2,5,5,5,4,2,5,1,4,4,3,2,2,3.0,1,2,BritishShorthair
2-10 years,1,Individual house zone,Rural,0,2,1,3,4,5,4,3,4,4,2,1,1,3,1,4,4,2.4087341710980965,0,0,Persian
2-10 years,1,House in a subdivision,Urban,0,2,1,5,2,4,4,3,4,4,2,1,3,2,1,3,4,2.0,0,0,Ragdoll
Less than 1 year,1,House in a subdivision,Periurban,2,2,4,4,4,4,3,2,4,3,4,1,2,3,3,3,4,2.5920155046351554,0,1,Siamese
1-2 years,5,Apartment without balcony,Rural,0,2,1,1,1,5,3,5,5,3,2,1,2,2,1,1,1,1.4169584390303078,0,0,Sphynx
2-10 years,4,Individual house zone,Rural,0,1,1,3,1,5,4,4,5,3,3,3,4,3,2,3,1,3.0,0,0,NoBreed
1-2 years,1,Individual house zone,Rural,1,3,4,5,1,5,4,4,5,5,1,1,1,1,1,3,3,3.0,0,0,Birman
1-2 years,2,House in a subdivision,Periurban,0,2,2,1,1,3,2,3,3,3,1,2,2,1,2,2,3,2.5995621908480433,0,0,Savannah
2-10 years,5,Individual house zone,Periurban,1,1,2,4,1,4,3,3,4,5,2,1,1,1,1,4,3,3.0,0,0,Birman
2-10 years,1,Apartment with balcony or terrace,Urban,1,2,1,1,3,4,4,4,4,1,4,2,3,1,1,4,3,1.0,0,0,Savannah
2-10 years,5,House in a subdivision,Periurban,0,1,1,2,1,3,3,3,3,3,3,1,1,1,1,3,3,2.7460448792654235,0,0,MaineCoon
2-10 years,1,Apartment with balcony or terrace,Periurban,0,2,2,4,2,3,4,3,4,3,1,1,2,2,1,3,2,1.6135391588408527,1,0,TurkishAngora
1-2 years,3,House in a subdivision,Periurban,2,2,3,5,3,4,5,4,4,2,2,1,3,2,2,3,1,3.0,0,0,Savannah
2-10 years,1,Individual house zone,Periurban,2,2,4,4,4,4,4,4,2,3,4,1,1,2,1,1,2,2.5774862709061255,2,2,NoBreed
2-10 years,2,Apartment with balcony or terrace,Rural,1,2,4,3,4,4,4,4,4,4,5,1,3,3,3,2,3,2.429095498155836,0,0,Siamese
Less than 1 year,1,House in a subdivision,Urban,0,2,4,4,3,4,4,2,4,2,4,1,1,1,1,3,2,1.0338791602465949,0,0,Siamese
1-2 years,2,Individual house zone,Periurban,0,2,3,4,3,4,4,4,4,4,2,1,1,1,1,2,3,2.244862744326381,0,0,Persian
Less than 1 year,1,Apartment with balcony or terrace,Rural,1,2,4,4,2,4,4,3,4,3,2,1,2,2,2,4,2,1.0,0,0,TurkishAngora
2-10 years,2,House in a subdivision,Rural,2,2,1,4,1,4,4,4,4,4,2,1,4,2,3,1,2,3.0,4,4,Chartreux
2-10 years,2,House in a subdivision,Periurban,3,1,1,5,1,4,4,3,3,5,2,3,1,1,4,2,4,2.0,1,2,European
2-10 years,1,House in a subdivision,Urban,0,1,2,2,3,2,2,1,2,2,2,2,3,3,3,1,3,2.7533072053166903,0,0,Persian
2-10 years,1,Apartment with balcony or terrace,Urban,2,1,2,5,4,4,5,3,5,5,1,1,1,1,1,4,4,2.0,0,1,European
2-10 years,5,House in a subdivision,Periurban,0,2,1,4,1,4,4,3,4,4,1,1,1,1,1,4,1,2.6157420219422427,0,0,Ragdoll
2-10 years,2,Individual house zone,Rural,0,2,1,2,1,4,3,3,4,4,1,1,3,3,4,3,2,2.090967479334359,0,0,Sphynx
Less than 1 year,5,Individual house zone,Periurban,0,2,2,4,1,4,4,4,5,4,3,3,4,2,2,4,2,2.0,0,0,MaineCoon
2-10 years,2,Apartment without balcony,Periurban,0,2,5,5,4,5,5,5,4,2,5,5,5,5,2,3,1,2.0,0,0,NoBreed
More than 10 years,1,House in a subdivision,Periurban,1,2,3,4,2,4,4,4,4,4,2,1,1,1,1,4,2,2.1152820212472845,0,0,Siamese
2-10 years,5,Apartment with balcony or terrace,Rural,0,2,1,2,1,5,3,4,5,5,1,1,1,1,1,2,1,2.0,0,0,MaineCoon
1-2 years,3,House in a subdivision,Rural,0,2,1,3,3,5,5,4,5,4,1,1,3,1,1,1,1,3.0,0,0,Savannah
2-10 years,2,Apartment without balcony,Urban,0,1,1,3,1,4,3,3,4,4,2,4,2,2,3,4,3,2.4769152754182153,0,0,TurkishAngora
2-10 years,1,Apartment with balcony or terrace,Urban,0,2,1,4,1,4,3,4,4,4,2,1,1,1,1,3,4,2.0,0,0,BritishShorthair
1-2 years,1,House in a subdivision,Periurban,1,2,3,4,3,4,4,4,4,4,1,1,1,1,1,3,2,3.0,0,0,Birman
2-10 years,2,Apartment with balcony or terrace,Urban,1,2,2,5,1,5,5,5,5,3,3,1,3,1,2,3,2,1.7726043791228874,0,0,Chartreux
1-2 years,2,Individual house zone,Periurban,0,3,1,4,1,2,4,5,5,5,1,1,1,1,1,3,4,2.246402033239107,0,0,MaineCoon
Less than 1 year,1,Apartment with balcony or terrace,Rural,1,2,1,3,3,4,3,4,4,4,1,1,3,3,3,4,3,1.0224693083201175,0,0,Sphynx
2-10 years,2,House in a subdivision,Periurban,1,2,2,5,3,2,2,2,5,3,4,1,1,3,1,4,2,3.0,0,0,Chartreux
2-10 years,2,Apartment with balcony or terrace,Rural,1,2,1,2,1,4,2,5,5,5,1,2,1,1,1,2,3,2.8178342161750214,0,0,Sphynx
2-10 years,1,House in a subdivision,Urban,0,2,1,5,2,4,4,3,4,4,1,1,3,2,1,3,4,2.0,0,0,Ragdoll
1-2 years,1,Individual house zone,Rural,2,2,1,4,4,5,4,4,5,4,3,2,1,2,2,4,4,3.0,4,4,NoBreed
1-2 years,2,Individual house zone,Rural,2,2,1,4,1,4,4,5,4,5,4,1,1,2,2,3,3,2.0,0,1,MaineCoon
2-10 years,3,Individual house zone,Rural,0,2,4,5,2,4,4,2,4,2,4,1,1,1,1,4,4,3.0,0,0,Persian
2-10 years,1,Apartment with balcony or terrace,Rural,0,2,1,3,3,4,3,4,4,4,1,1,3,3,3,4,3,1.0,0,0,Sphynx
Less than 1 year,2,Individual house zone,Rural,2,2,4,4,4,4,4,4,5,4,4,1,1,3,1,4,4,3.0,0,0,NoBreed
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,2,2,4,1,3,4,4,5,5,2,1,1,1,2,4,4,3.0,0,0,Birman
1-2 years,2,Individual house zone,Rural,3,2,1,2,4,4,3,4,4,4,1,1,1,3,1,4,2,3.0,0,0,Sphynx
2-10 years,2,Apartment without balcony,Rural,0,2,1,1,3,4,3,3,4,2,2,1,1,1,1,3,3,1.7243174696766612,0,0,Savannah
1-2 years,2,House in a subdivision,Urban,3,1,1,3,2,4,4,4,3,2,4,1,3,2,3,3,3,2.0,1,4,European
2-10 years,2,Apartment without balcony,Periurban,1,2,3,4,3,4,5,4,4,2,3,1,2,3,2,4,2,2.5628346111831735,0,0,Savannah
2-10 years,4,Apartment with balcony or terrace,Urban,0,3,2,3,2,5,5,5,5,4,1,1,3,2,2,4,2,2.0,0,0,TurkishAngora
1-2 years,1,Apartment with balcony or terrace,Urban,1,2,1,2,3,4,3,4,3,4,3,3,4,4,3,3,4,1.0353389698398368,0,1,Siamese
1-2 years,1,Individual house zone,Rural,1,2,3,3,3,4,4,4,4,4,2,2,2,3,1,4,3,3.0,0,0,Persian
2-10 years,1,House in a subdivision,Periurban,0,2,4,4,2,4,4,4,4,2,2,1,1,1,1,4,3,1.656983857564493,0,0,Ragdoll
Less than 1 year,1,Apartment without balcony,Urban,0,2,4,4,1,4,5,3,4,1,3,1,1,1,2,3,3,1.0,0,0,NoBreed
1-2 years,1,Apartment with balcony or terrace,Urban,1,1,1,4,3,3,2,2,5,5,1,1,1,1,1,5,4,1.0,0,0,Ragdoll
1-2 years,1,Individual house zone,Rural,2,2,2,2,1,4,4,4,4,3,3,1,3,2,2,1,1,3.0,2,4,Persian
2-10 years,2,Individual house zone,Periurban,1,2,2,4,2,5,2,2,5,4,2,1,4,2,1,4,4,3.0,0,0,Persian
2-10 years,1,Apartment without balcony,Rural,0,2,4,2,3,5,5,5,5,3,1,1,2,3,2,2,4,2.5146575865735117,0,0,Savannah
Less than 1 year,1,Apartment without balcony,Urban,0,3,2,2,3,4,4,3,4,4,1,1,2,2,2,3,5,2.098321257191736,0,0,Birman
1-2 years,1,Apartment with balcony or terrace,Periurban,1,2,2,4,3,4,4,4,4,4,1,1,1,1,1,2,2,3.0,0,0,Birman
Less than 1 year,1,House in a subdivision,Periurban,0,2,1,5,1,5,4,5,5,5,1,1,1,2,1,3,2,2.6539834323551603,0,0,Ragdoll
More than 10 years,1,House in a subdivision,Rural,2,2,4,5,1,4,4,3,5,3,4,1,5,5,1,2,4,2.0,1,0,Persian
1-2 years,1,Individual house zone,Rural,0,2,4,4,3,4,4,4,5,4,2,1,2,3,1,4,3,2.3724419199159366,0,0,Persian
2-10 years,4,House in a subdivision,Periurban,0,2,1,3,1,5,4,4,5,3,2,3,3,2,3,4,3,2.252508749688382,0,0,Savannah
1-2 years,1,House in a subdivision,Periurban,1,2,2,4,4,3,4,3,5,5,1,1,2,3,1,4,4,2.7341488633456867,1,2,Chartreux
1-2 years,1,Apartment with balcony or terrace,Urban,0,2,3,2,2,4,5,5,4,3,1,2,2,2,3,3,4,2.0,0,0,Savannah
1-2 years,1,House in a subdivision,Urban,2,3,5,2,1,5,5,5,5,4,1,2,1,1,1,4,1,3.0,2,3,Bengal
2-10 years,1,Individual house zone,Rural,1,2,2,4,2,4,4,3,3,3,1,4,2,1,1,1,3,2.0,2,4,Birman
1-2 years,1,Apartment without balcony,Periurban,0,2,2,3,1,3,1,3,3,4,1,1,1,1,2,4,3,2.0,0,0,Ragdoll
1-2 years,1,Apartment without balcony,Rural,0,3,1,1,1,5,4,5,3,4,2,2,4,2,3,2,3,2.5608650914297817,0,0,Bengal
More than 10 years,5,Individual house zone,Rural,2,2,1,3,1,3,1,3,3,3,1,1,3,1,2,2,2,3.0,0,0,MaineCoon
1-2 years,1,Apartment with balcony or terrace,Urban,1,2,1,2,4,4,3,4,2,3,4,3,3,3,3,2,4,2.9315437783589418,0,0,Siamese
2-10 years,1,Apartment with balcony or terrace,Rural,1,2,3,4,3,4,4,4,5,1,3,1,1,3,3,4,2,1.1655205103672897,0,0,Ragdoll
Less than 1 year,1,House in a subdivision,Rural,0,2,2,3,1,4,4,3,4,3,1,1,1,1,1,1,4,2.0,0,0,Birman
1-2 years,4,House in a subdivision,Periurban,0,2,1,4,3,3,2,2,4,4,2,1,2,2,2,4,4,1.064986409482894,0,0,Ragdoll
2-10 years,4,House in a subdivision,Rural,1,1,1,2,1,5,4,4,3,4,2,1,4,3,2,4,2,2.8744569744729023,0,0,Bengal
1-2 years,1,Individual house zone,Rural,0,3,1,2,2,5,2,3,5,5,1,2,2,1,3,4,3,2.0,0,0,MaineCoon
2-10 years,1,Apartment with balcony or terrace,Urban,1,2,1,2,1,4,3,3,3,4,1,1,1,1,1,3,3,2.0,0,0,Bengal
2-10 years,2,Apartment without balcony,Periurban,1,1,3,4,2,3,3,2,5,4,1,2,3,3,2,4,3,2.997941040308733,0,0,Ragdoll
Less than 1 year,1,Individual house zone,Periurban,0,3,1,3,2,3,3,3,3,3,1,2,2,2,1,3,2,1.030121173292361,0,0,Birman
2-10 years,1,House in a subdivision,Rural,0,2,4,3,2,4,5,2,5,1,3,1,4,4,4,2,4,2.1412780492755057,0,1,Savannah
2-10 years,1,Apartment without balcony,Urban,0,2,4,4,4,4,5,4,5,4,4,2,2,3,3,4,2,2.0,0,0,NoBreed
2-10 years,2,House in a subdivision,Rural,0,2,2,2,2,5,4,4,3,3,3,2,3,2,2,3,2,3.0,0,0,Bengal
2-10 years,5,House in a subdivision,Rural,2,1,4,3,5,5,5,4,2,2,4,3,2,5,5,1,1,3.0,1,2,NoBreed
1-2 years,2,House in a subdivision,Periurban,1,2,3,4,2,3,4,3,2,2,4,2,2,2,2,3,2,2.241761524295909,0,0,Persian
More than 10 years,1,Individual house zone,Periurban,2,3,5,4,4,5,4,3,5,4,2,1,1,4,1,2,2,3.0,1,2,European
1-2 years,1,Apartment with balcony or terrace,Urban,0,2,4,4,3,4,4,3,3,2,1,1,1,2,2,4,4,1.0,0,0,Persian
1-2 years,1,Apartment with balcony or terrace,Urban,0,2,1,4,1,5,4,4,5,5,1,1,1,1,3,4,4,1.1811493495346803,0,0,Sphynx
1-2 years,4,Individual house zone,Rural,0,3,1,1,1,5,4,4,4,5,2,1,1,1,1,3,2,3.0,0,0,Birman
2-10 years,3,House in a subdivision,Rural,0,3,2,5,2,5,5,5,4,2,5,1,1,1,1,3,3,2.0,0,0,Birman
2-10 years,2,House in a subdivision,Rural,2,2,1,3,1,4,4,4,4,4,2,1,4,2,3,1,2,3.0,4,4,Chartreux
2-10 years,1,Apartment with balcony or terrace,Urban,1,2,2,4,2,3,3,3,4,4,2,1,2,2,1,3,2,1.0,0,0,Siamese
Less than 1 year,1,Apartment without balcony,Urban,0,2,3,3,3,4,3,3,4,4,1,1,1,1,1,3,3,1.0300856021853968,0,0,Persian
2-10 years,1,Individual house zone,Rural,1,2,4,1,2,4,4,4,4,2,1,4,2,3,4,2,3,3.0,1,0,Savannah
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,2,4,4,2,4,4,4,4,3,2,1,2,2,2,3,2,1.2261654767986596,0,0,TurkishAngora
1-2 years,1,Apartment with balcony or terrace,Rural,0,3,1,2,3,5,4,4,4,4,2,1,1,1,1,3,3,2.0,0,0,BritishShorthair
1-2 years,1,House in a subdivision,Periurban,0,2,4,3,4,4,4,4,4,2,4,3,4,3,4,4,4,3.0,0,0,European
2-10 years,1,Apartment with balcony or terrace,Urban,1,1,1,4,1,5,4,3,3,3,3,1,2,1,2,3,3,1.8462452920190493,0,0,Siamese
2-10 years,1,House in a subdivision,Rural,1,1,2,5,2,3,2,3,4,4,3,1,2,2,1,4,4,1.0,0,0,BritishShorthair
1-2 years,5,Individual house zone,Periurban,1,3,2,1,1,4,4,4,3,1,4,4,4,3,4,1,4,3.0,0,0,Savannah
Less than 1 year,2,House in a subdivision,Rural,0,2,1,1,1,4,2,4,4,5,2,4,2,2,4,3,4,2.5929435513477546,0,0,NoBreed
2-10 years,2,Individual house zone,Rural,2,1,1,2,1,4,4,4,4,4,3,2,4,1,4,4,4,3.0,0,4,NoBreed
2-10 years,1,Apartment with balcony or terrace,Rural,0,2,4,4,3,4,5,3,3,4,4,1,3,3,2,4,4,1.9745472651988698,0,0,Chartreux
2-10 years,1,House in a subdivision,Rural,0,2,2,3,1,4,4,3,5,4,3,2,2,1,3,4,3,3.0,0,0,Chartreux
1-2 years,1,Apartment without balcony,Urban,0,3,2,3,3,5,5,5,5,4,3,2,3,2,3,3,3,1.0,0,0,European
Less than 1 year,2,Individual house zone,Urban,2,3,1,2,1,4,3,4,4,2,2,4,4,4,3,3,4,3.0,1,3,NoBreed
Less than 1 year,1,Apartment without balcony,Rural,0,2,4,4,2,4,5,5,5,5,1,1,2,1,3,5,5,2.0,0,0,Birman
2-10 years,2,Individual house zone,Rural,0,2,3,3,2,4,4,4,4,2,3,2,3,3,3,3,2,2.6334008543167258,0,0,Persian
1-2 years,1,Individual house zone,Rural,1,2,1,4,4,4,4,4,5,5,2,1,2,2,1,4,1,2.328441556386963,1,0,Chartreux
2-10 years,5,Apartment with balcony or terrace,Periurban,0,2,1,2,1,5,4,4,4,5,1,3,4,3,3,4,2,2.0,0,0,Siamese
Less than 1 year,1,Apartment with balcony or terrace,Urban,0,2,2,3,1,4,4,2,4,4,1,1,2,1,1,3,3,2.9966368370739054,0,0,Persian
2-10 years,2,Apartment with balcony or terrace,Rural,0,2,1,2,1,4,4,4,5,4,1,1,4,1,1,1,1,1.0420931896363619,0,0,MaineCoon
